#iterations: 72711
#========================================================
#               x[1]                y[2]           Charge[3]        Potential[4]
       7.8740157e-03       3.1496063e-01       0.0000000e+00      -2.8588501e-07
       7.8740157e-03       3.2283465e-01       0.0000000e+00      -2.8460732e-07
       7.8740157e-03       3.3070866e-01       0.0000000e+00      -2.8305211e-07
       7.8740157e-03       3.3858268e-01       0.0000000e+00      -2.8123599e-07
       7.8740157e-03       3.4645669e-01       0.0000000e+00      -2.7917533e-07
       7.8740157e-03       3.5433071e-01       0.0000000e+00      -2.7688622e-07
       7.8740157e-03       3.6220472e-01       0.0000000e+00      -2.7438442e-07
       7.8740157e-03       3.7007874e-01       0.0000000e+00      -2.7168527e-07
       7.8740157e-03       3.7795276e-01       0.0000000e+00      -2.6880372e-07
       7.8740157e-03       3.8582677e-01       0.0000000e+00      -2.6575425e-07
       7.8740157e-03       3.9370079e-01       0.0000000e+00      -2.6255082e-07
       7.8740157e-03       4.0157480e-01       0.0000000e+00      -2.5920690e-07
       7.8740157e-03       4.0944882e-01       0.0000000e+00      -2.5573543e-07
       7.8740157e-03       4.1732283e-01       0.0000000e+00      -2.5214880e-07
       7.8740157e-03       4.2519685e-01       0.0000000e+00      -2.4845884e-07
       7.8740157e-03       4.3307087e-01       0.0000000e+00      -2.4467682e-07
       7.8740157e-03       4.4094488e-01       0.0000000e+00      -2.4081347e-07
       7.8740157e-03       4.4881890e-01       0.0000000e+00      -2.3687895e-07
       7.8740157e-03       4.5669291e-01       0.0000000e+00      -2.3288287e-07
       7.8740157e-03       4.6456693e-01       0.0000000e+00      -2.2883429e-07
       7.8740157e-03       4.7244094e-01       0.0000000e+00      -2.2474175e-07
       7.8740157e-03       4.8031496e-01       0.0000000e+00      -2.2061326e-07
       7.8740157e-03       4.8818898e-01       0.0000000e+00      -2.1645631e-07
       7.8740157e-03       4.9606299e-01       0.0000000e+00      -2.1227792e-07
       7.8740157e-03       5.0393701e-01       0.0000000e+00      -2.0808460e-07
       7.8740157e-03       5.1181102e-01       0.0000000e+00      -2.0388244e-07
       7.8740157e-03       5.1968504e-01       0.0000000e+00      -1.9967705e-07
       7.8740157e-03       5.2755906e-01       0.0000000e+00      -1.9547361e-07
       7.8740157e-03       5.3543307e-01       0.0000000e+00      -1.9127693e-07
       7.8740157e-03       5.4330709e-01       0.0000000e+00      -1.8709138e-07
       7.8740157e-03       5.5118110e-01       0.0000000e+00      -1.8292099e-07
       7.8740157e-03       5.5905512e-01       0.0000000e+00      -1.7876943e-07
       7.8740157e-03       5.6692913e-01       0.0000000e+00      -1.7464000e-07
       7.8740157e-03       5.7480315e-01       0.0000000e+00      -1.7053573e-07
       7.8740157e-03       5.8267717e-01       0.0000000e+00      -1.6645930e-07
       7.8740157e-03       5.9055118e-01       0.0000000e+00      -1.6241313e-07
       7.8740157e-03       5.9842520e-01       0.0000000e+00      -1.5839937e-07
       7.8740157e-03       6.0629921e-01       0.0000000e+00      -1.5441990e-07
       7.8740157e-03       6.1417323e-01       0.0000000e+00      -1.5047637e-07
       7.8740157e-03       6.2204724e-01       0.0000000e+00      -1.4657020e-07
       7.8740157e-03       6.2992126e-01       0.0000000e+00      -1.4270260e-07
       7.8740157e-03       6.3779528e-01       0.0000000e+00      -1.3887458e-07
